rst,area_ha,fsID,pub_priv,HYBRID,BAU,WOOD,BIO
5_1,11.103,2589,1,3,2,3,2
5_1,5.881,2593,1,3,2,3,2
5_1,3.387,2595,0,3,2,3,2
5_1,6.435,2599,1,3,2,3,2
5_1,3.897,2605,1,3,2,3,2
5_1,4.196,2607,1,3,2,3,2
5_1,3.590,2608,1,3,2,3,2
5_1,4.804,2612,1,3,2,3,2
5_1,3.784,2614,1,3,2,3,2
5_2,1.101,2644,1,3,2,3,2
5_2,3.576,2718,1,3,2,3,2
5_2,1.734,2724,1,3,2,3,2
5_2,2.125,2726,0,3,2,3,2
5_2,3.777,2735,1,3,2,3,2
5_2,5.769,2741,1,3,2,3,2
5_2,0.439,2750,1,3,2,3,2
5_2,1.604,2754,1,3,2,3,2
5_2,5.382,2775,1,3,2,3,2
5_2,1.233,2780,0,3,2,3,2
5_3,2.093,2792,1,3,2,3,2
5_3,5.976,2798,1,3,2,3,2
5_3,4.985,2804,1,3,2,3,2
4_1,5.124,2809,0,3,2,3,2
5_1,5.223,2813,1,3,2,3,2
2_2,11.201,1091,1,2,2,2,2
2_1,5.935,1088,1,2,2,2,2
2_2,5.454,1094,1,2,2,2,2
2_2,2.200,1092,1,2,2,2,2
2_1,8.383,1085,1,2,2,2,2
2_1,13.700,1084,1,2,2,2,2
2_1,10.627,1087,1,2,2,2,2
2_1,12.717,1086,1,2,2,2,2
5_1,4.340,1056,1,2,2,2,2
5_1,4.255,1054,0,2,2,2,2
5_2,4.544,1058,1,2,2,2,2
5_1,4.152,1057,0,2,2,2,2
5_1,4.803,1050,1,2,2,2,2
5_1,4.502,1049,1,2,2,2,2
5_1,4.494,1052,1,2,2,2,2
5_1,4.176,1051,1,2,2,2,2
5_3,8.709,1067,1,2,2,2,2
5_3,8.506,1066,1,2,2,2,2
5_3,4.549,1070,1,2,2,2,2
5_3,4.366,1069,0,2,2,2,1
5_3,4.967,1063,1,2,2,2,2
5_2,4.357,1060,1,2,2,2,2
5_3,4.642,1065,1,2,2,2,2
5_3,13.427,1064,1,2,2,2,1
4_3,4.733,1033,1,2,2,2,1
4_3,8.393,1032,0,2,2,2,1
5_1,4.350,1037,1,2,2,2,2
5_1,4.360,1036,1,2,2,2,2
4_2,4.075,1024,1,2,2,2,2
4_2,4.201,1023,1,2,2,2,2
4_3,4.712,1029,1,2,2,2,2
4_3,4.478,1028,1,2,2,2,2
5_1,4.344,1046,1,2,2,2,2
5_1,4.999,1043,1,2,2,2,1
5_1,4.439,1048,1,2,2,2,2
5_1,4.336,1047,0,2,2,2,2
5_1,4.265,1039,1,2,2,2,2
5_1,4.152,1038,1,2,2,2,2
5_1,4.226,1041,1,2,2,2,2
5_1,4.779,1040,1,2,2,2,2
4_1,4.799,1004,1,2,2,2,2
4_1,4.725,1001,1,2,2,2,2
4_1,4.100,1008,1,2,2,2,2
4_1,4.720,1005,1,2,2,2,1
4_1,4.165,998,1,2,2,2,2
4_1,4.160,996,1,2,2,2,2
4_1,4.990,1000,1,2,2,2,2
4_1,4.718,999,1,2,2,2,2
