#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
46;10;Fichte;100;1;2033;31.8031820864472;28.0;L3;2b;0.3;15.5;32.15;25.01;19.47;0.78;0.85;0.0;0.15;86.92;
47;10;Fichte;100;1;2033;31.8031820864472;28.0;L1;1b;15.9;4.5;19.38;16.96;14.15;0.1;0.11;0.0;0.05;7.28;
48;10;Fichte;100;1;2033;31.8031820864472;28.0;L1;1a;20.5;5.0;14.01;10.29;5.76;0.04;0.05;0.0;0.0;2.11;
49;10;Fichte;100;1;2033;31.8031820864472;28.0;Restholz 1;Restholz 1;25.6;2.4;5.56;2.96;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;10;Fichte;100;1;2033;31.8031820864472;28.0;;;;;;;;0.92;1.02;;;96.41;
#
50;11;Fichte;100;1;2033;54.190692948566;39.0;L1;5;0.3;3.0;55.17;50.53;47.13;0.57;0.62;0.0;2.79;82.31;
51;11;Fichte;100;1;2033;54.190692948566;39.0;L1;4;3.4;6.0;46.94;42.85;40.74;0.85;0.93;0.0;1.89;108.02;
52;11;Fichte;100;1;2033;54.190692948566;39.0;L3;3b;9.5;18.5;40.68;35.15;22.94;1.7;1.91;0.0;0.17;206.17;
53;11;Fichte;100;1;2033;54.190692948566;39.0;L1;1b;28.1;4.5;22.77;18.81;14.53;0.12;0.14;0.0;0.04;9.1;
54;11;Fichte;100;1;2033;54.190692948566;39.0;L1;1a;32.7;4.0;14.33;10.21;5.74;0.03;0.04;0.0;0.0;1.69;
55;11;Fichte;100;1;2033;54.190692948566;39.0;Restholz 1;Restholz 1;36.8;2.2;5.5;2.84;0.0;0.0;0.0;0.0;0.0;0.09;
#Summe:;11;Fichte;100;1;2033;54.190692948566;39.0;;;;;;;;3.29;3.65;;;407.37;
#
56;12;Fichte;100;1;2033;44.5424126560311;35.0;L1;4;0.3;4.5;45.25;40.16;37.1;0.56;0.61;0.0;1.56;70.88;
57;12;Fichte;100;1;2033;44.5424126560311;35.0;L3;3a;4.9;21.0;36.99;30.51;18.22;1.46;1.62;0.0;0.09;176.43;
58;12;Fichte;100;1;2033;44.5424126560311;35.0;L2;1a;26.0;8.5;18.06;10.63;1.29;0.09;0.1;0.0;0.0;4.32;
59;12;Fichte;100;1;2033;44.5424126560311;35.0;Restholz 1;Restholz 1;34.6;0.4;1.03;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;12;Fichte;100;1;2033;44.5424126560311;35.0;;;;;;;;2.1;2.34;;;251.63;
#
60;13;Fichte;100;1;2033;41.0933276202638;33.0;L3;3a;0.3;22.0;41.69;30.43;20.15;1.62;1.78;0.0;0.13;195.51;
61;13;Fichte;100;1;2033;41.0933276202638;33.0;L1;1b;22.4;3.5;20.01;17.48;14.71;0.08;0.09;0.0;0.05;5.98;
62;13;Fichte;100;1;2033;41.0933276202638;33.0;L1;1a;26.0;5.0;14.54;10.09;4.9;0.04;0.05;0.0;0.0;2.08;
63;13;Fichte;100;1;2033;41.0933276202638;33.0;Restholz 1;Restholz 1;31.1;1.9;4.67;2.43;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;13;Fichte;100;1;2033;41.0933276202638;33.0;;;;;;;;1.74;1.93;;;203.63;
#
64;14;Fichte;100;1;2033;29.5503285462468;27.0;L2;2b;0.3;9.0;29.84;25.04;22.53;0.45;0.49;0.0;0.32;50.49;
65;14;Fichte;100;1;2033;29.5503285462468;27.0;L1;2a;9.4;6.0;22.48;20.54;18.01;0.19;0.22;0.0;0.12;19.82;
66;14;Fichte;100;1;2033;29.5503285462468;27.0;L1;1b;15.5;3.5;17.91;16.12;14.08;0.07;0.08;0.0;0.05;5.06;
67;14;Fichte;100;1;2033;29.5503285462468;27.0;L1;1a;19.1;5.5;13.96;10.17;5.4;0.05;0.05;0.0;0.0;2.27;
68;14;Fichte;100;1;2033;29.5503285462468;27.0;Restholz 1;Restholz 1;24.7;2.3;5.2;2.77;0.0;0.0;0.0;0.0;0.0;0.09;
#Summe:;14;Fichte;100;1;2033;29.5503285462468;27.0;;;;;;;;0.76;0.84;;;77.72;
#
69;15;Fichte;100;1;2033;39.7240246136997;32.0;L3;3a;0.3;19.5;40.27;30.07;21.94;1.41;1.56;0.0;0.18;171.02;
70;15;Fichte;100;1;2033;39.7240246136997;32.0;L1;1b;19.9;5.0;21.82;18.51;14.7;0.13;0.15;0.0;0.05;9.73;
71;15;Fichte;100;1;2033;39.7240246136997;32.0;L1;1a;25.0;5.0;14.54;10.13;4.95;0.04;0.05;0.0;0.0;2.09;
72;15;Fichte;100;1;2033;39.7240246136997;32.0;Restholz 1;Restholz 1;30.1;1.9;4.72;2.46;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;15;Fichte;100;1;2033;39.7240246136997;32.0;;;;;;;;1.59;1.76;;;182.91;
#
73;16;Fichte;100;1;2033;37.6358874589044;31.0;L2;3a;0.3;13.5;38.13;30.1;26.09;1.0;1.09;0.0;0.4;120.71;
74;16;Fichte;100;1;2033;37.6358874589044;31.0;L2;2a;13.9;7.5;26.02;22.6;18.06;0.29;0.33;0.0;0.1;30.26;
75;16;Fichte;100;1;2033;37.6358874589044;31.0;L2;1a;21.5;9.0;17.92;10.88;1.31;0.09;0.11;0.0;0.0;4.67;
76;16;Fichte;100;1;2033;37.6358874589044;31.0;Restholz 1;Restholz 1;30.6;0.4;1.05;0.53;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;16;Fichte;100;1;2033;37.6358874589044;31.0;;;;;;;;1.38;1.54;;;155.64;
#
77;17;Fichte;100;1;2033;52.0990516335781;38.0;L1;4;0.3;6.0;53.01;45.37;41.43;0.97;1.06;0.0;2.09;123.28;
78;17;Fichte;100;1;2033;52.0990516335781;38.0;L1;4;6.4;3.5;41.34;40.03;39.05;0.42;0.46;0.0;1.64;52.93;
79;17;Fichte;100;1;2033;52.0990516335781;38.0;L3;3a;10.0;19.5;39.0;32.5;18.38;1.54;1.72;0.0;0.08;185.79;
80;17;Fichte;100;1;2033;52.0990516335781;38.0;L2;1a;29.6;8.0;18.2;10.4;1.06;0.08;0.1;0.0;0.0;3.99;
81;17;Fichte;100;1;2033;52.0990516335781;38.0;Restholz 1;Restholz 1;37.7;0.3;0.8;0.4;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;17;Fichte;100;1;2033;52.0990516335781;38.0;;;;;;;;3.01;3.34;;;366.0;
#
82;18;Fichte;100;1;2033;23.3453351379297;22.0;L2;2a;0.3;7.5;23.47;20.29;18.09;0.24;0.26;0.0;0.17;24.95;
83;18;Fichte;100;1;2033;23.3453351379297;22.0;L1;1b;7.9;5.0;18.02;16.29;14.17;0.1;0.11;0.0;0.06;7.45;
84;18;Fichte;100;1;2033;23.3453351379297;22.0;L2;1a;13.0;7.0;14.08;10.21;4.62;0.06;0.07;0.0;0.0;2.89;
85;18;Fichte;100;1;2033;23.3453351379297;22.0;Restholz 1;Restholz 1;20.1;1.9;4.42;2.37;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;18;Fichte;100;1;2033;23.3453351379297;22.0;;;;;;;;0.4;0.45;;;35.35;
#
86;19;Fichte;100;1;2033;20.9948404361499;21.0;L2;1b;0.3;10.5;21.08;17.41;14.05;0.25;0.28;0.0;0.07;18.53;
87;19;Fichte;100;1;2033;20.9948404361499;21.0;L2;1a;10.9;8.0;13.97;10.24;4.56;0.07;0.08;0.0;0.0;3.3;
88;19;Fichte;100;1;2033;20.9948404361499;21.0;Restholz 1;Restholz 1;19.0;2.0;4.38;2.36;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;19;Fichte;100;1;2033;20.9948404361499;21.0;;;;;;;;0.32;0.35;;;21.88;
#
89;20;Fichte;100;1;2033;61.5768440537245;42.0;L1;5;0.3;6.0;62.78;53.34;48.31;1.35;1.47;0.0;3.19;193.9;
90;20;Fichte;100;1;2033;61.5768440537245;42.0;L1;4;6.4;6.0;48.19;45.71;44.25;0.96;1.05;0.0;2.18;121.62;
91;20;Fichte;100;1;2033;61.5768440537245;42.0;L1;4;12.5;6.0;44.21;42.81;40.88;0.83;0.92;0.0;1.31;105.51;
92;20;Fichte;100;1;2033;61.5768440537245;42.0;L3;3a;18.6;15.0;40.8;32.18;18.97;1.21;1.37;0.0;0.08;145.81;
93;20;Fichte;100;1;2033;61.5768440537245;42.0;L2;1a;33.7;8.0;18.77;10.37;0.79;0.08;0.1;0.0;0.0;4.09;
94;20;Fichte;100;1;2033;61.5768440537245;42.0;Restholz 1;Restholz 1;41.8;0.2;0.53;0.26;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;20;Fichte;100;1;2033;61.5768440537245;42.0;;;;;;;;4.43;4.92;;;570.94;
#
95;21;Fichte;100;1;2033;36.1893639854895;31.0;L2;3a;0.3;10.0;36.66;30.04;27.25;0.73;0.8;0.0;0.56;88.49;
96;21;Fichte;100;1;2033;36.1893639854895;31.0;L2;2b;10.4;7.0;27.2;25.02;21.99;0.33;0.37;0.0;0.21;37.38;
97;21;Fichte;100;1;2033;36.1893639854895;31.0;L1;2a;17.5;3.0;21.89;20.29;18.51;0.09;0.1;0.0;0.11;9.42;
98;21;Fichte;100;1;2033;36.1893639854895;31.0;L1;1b;20.6;3.0;18.39;16.43;14.3;0.06;0.07;0.0;0.05;4.47;
99;21;Fichte;100;1;2033;36.1893639854895;31.0;L1;1a;23.7;5.0;14.15;10.12;5.34;0.04;0.05;0.0;0.0;2.06;
100;21;Fichte;100;1;2033;36.1893639854895;31.0;Restholz 1;Restholz 1;28.8;2.2;5.13;2.69;0.0;0.0;0.0;0.0;0.0;0.08;
#Summe:;21;Fichte;100;1;2033;36.1893639854895;31.0;;;;;;;;1.26;1.4;;;141.91;
#
101;22;Fichte;100;1;2033;21.1061044778348;21.0;L2;1b;0.3;10.5;21.19;17.51;14.12;0.25;0.28;0.0;0.07;18.72;
102;22;Fichte;100;1;2033;21.1061044778348;21.0;L2;1a;10.9;8.5;14.04;10.01;3.63;0.07;0.08;0.0;0.0;3.37;
103;22;Fichte;100;1;2033;21.1061044778348;21.0;Restholz 1;Restholz 1;19.5;1.5;3.43;1.82;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;22;Fichte;100;1;2033;21.1061044778348;21.0;;;;;;;;0.32;0.36;;;22.12;
#
104;23;Fichte;100;1;2033;65.7525808225264;43.0;L1;6;0.3;3.5;67.07;60.42;55.7;0.97;1.06;0.0;4.27;144.9;
105;23;Fichte;100;1;2033;65.7525808225264;43.0;L1;5;3.9;6.0;55.48;50.69;48.28;1.19;1.31;0.0;3.02;171.78;
106;23;Fichte;100;1;2033;65.7525808225264;43.0;L1;4;10.0;6.0;48.22;46.81;45.4;1.0;1.1;0.0;1.97;126.53;
107;23;Fichte;100;1;2033;65.7525808225264;43.0;L1;4;16.1;6.0;45.34;43.32;40.44;0.85;0.95;0.0;1.07;107.99;
108;23;Fichte;100;1;2033;65.7525808225264;43.0;L2;3b;22.2;7.5;40.32;35.37;29.15;0.72;0.82;0.0;0.32;87.24;
109;23;Fichte;100;1;2033;65.7525808225264;43.0;L1;2b;29.8;4.0;28.97;25.23;21.27;0.19;0.23;0.0;0.12;21.31;
110;23;Fichte;100;1;2033;65.7525808225264;43.0;L1;1b;33.9;3.0;21.06;17.95;14.72;0.07;0.09;0.0;0.04;5.4;
111;23;Fichte;100;1;2033;65.7525808225264;43.0;L1;1a;37.0;3.5;14.5;10.56;6.41;0.03;0.04;0.0;0.0;1.56;
112;23;Fichte;100;1;2033;65.7525808225264;43.0;Restholz 1;Restholz 1;40.6;2.4;6.17;3.16;0.0;0.0;0.0;0.0;0.0;0.12;
#Summe:;23;Fichte;100;1;2033;65.7525808225264;43.0;;;;;;;;5.04;5.59;;;666.85;
#
113;24;Fichte;100;1;2033;43.2143121427715;34.0;L1;4;0.3;3.0;43.87;40.36;37.86;0.37;0.4;0.0;1.59;46.18;
114;24;Fichte;100;1;2033;43.2143121427715;34.0;L3;3a;3.4;21.5;37.72;30.31;18.22;1.49;1.65;0.0;0.09;179.84;
115;24;Fichte;100;1;2033;43.2143121427715;34.0;L2;1a;25.0;8.5;18.06;10.7;1.31;0.09;0.1;0.0;0.0;4.36;
116;24;Fichte;100;1;2033;43.2143121427715;34.0;Restholz 1;Restholz 1;33.6;0.4;1.05;0.53;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;24;Fichte;100;1;2033;43.2143121427715;34.0;;;;;;;;1.94;2.15;;;230.38;
#
117;25;Fichte;100;1;2033;23.4792996544343;22.0;L2;2a;0.3;7.5;23.6;20.4;18.19;0.25;0.27;0.0;0.17;25.24;
118;25;Fichte;100;1;2033;23.4792996544343;22.0;L1;1b;7.9;5.0;18.13;16.39;14.25;0.1;0.11;0.0;0.06;7.54;
119;25;Fichte;100;1;2033;23.4792996544343;22.0;L2;1a;13.0;7.0;14.16;10.27;4.65;0.06;0.07;0.0;0.0;2.93;
