fsID,area,HYBRID,ProtFor,fs_NatRes,fs_NatProt,BAU,WOOD,BIO,ds,Cluster_ID,ds_text,rst,SEmme,Above1000m,area_ha,age,elev,SHORTNAME
372,91342,2,1,0,1,2,2,1,ds6,4428.0,Starkes Baumholz,Starkes Baumholz_13,1,1,9.134,not_young,950.8,Hasle LU
373,16123,3,0,0,0,3,3,3,ds4,427.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,1.612,not_young,909.1,Escholzmatt
375,97371,2,1,0,1,2,2,1,ds5,2400.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,9.737,not_young,1074.3,Finsterwald b. E.
379,30017,3,0,0,0,3,3,3,ds4,429.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,3.002,not_young,1006.0,Bramboden
380,31663,3,0,0,0,3,3,3,ds5,364.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,3.166,not_young,1128.3,Escholzmatt
385,46620,3,0,0,0,3,4,3,ds5,352.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,4.662,not_young,926.7,Doppleschwand
394,24047,3,0,0,0,3,3,3,ds5,6487.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.405,not_young,1150.1,Escholzmatt
395,13883,3,0,0,0,3,3,3,ds2,539.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.388,young,1087.5,Escholzmatt
399,47225,2,1,0,1,2,2,2,ds2,540.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,4.723,young,1199.4,Escholzmatt
407,3194,3,0,0,0,3,3,3,ds2,528.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.319,young,1061.5,Romoos
423,7763,2,1,0,1,2,2,2,ds2,524.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.776,young,1068.2,Romoos
424,23827,3,0,0,0,3,3,3,ds6,351.0,Starkes Baumholz,Starkes Baumholz_6,1,1,2.383,not_young,1061.3,Romoos
427,4775,3,0,0,0,3,3,3,ds5,2373.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,0.478,not_young,990.1,Schüpfheim
434,59914,3,0,0,0,3,3,3,ds6,4466.0,Starkes Baumholz,Starkes Baumholz_13,1,1,5.991,not_young,936.7,Escholzmatt
442,43446,3,0,0,0,3,3,3,ds4,4465.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,4.345,not_young,1173.8,Romoos
446,54379,2,1,0,1,2,2,2,ds5,2352.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,5.438,not_young,1081.2,Escholzmatt
458,50107,3,0,0,0,3,3,3,ds6,4224.0,Starkes Baumholz,Starkes Baumholz_13,1,1,5.011,not_young,895.0,Romoos
460,31063,3,0,0,0,3,3,3,ds6,4235.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.106,not_young,1013.3,Romoos
475,36024,3,0,0,0,3,3,3,ds5,4382.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,3.602,not_young,1112.5,Bramboden
486,3050,3,0,0,0,3,3,3,ds3,4500.0,Stangenholz,Stangenholz_6,1,1,0.305,not_young,1062.5,Escholzmatt
487,20354,3,0,0,0,3,3,3,ds3,2448.0,Stangenholz,Stangenholz_13,1,1,2.035,not_young,926.0,Schüpfheim
503,21515,4,0,0,0,3,4,3,ds3,392.0,Stangenholz,Stangenholz_6,1,1,2.152,not_young,981.9,Romoos
507,40514,2,1,0,1,2,2,2,ds6,2220.0,Starkes Baumholz,Starkes Baumholz_13,1,1,4.051,not_young,907.6,Schüpfheim
509,14259,3,0,0,0,3,3,3,ds4,2373.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.426,not_young,986.3,Schüpfheim
511,36740,3,0,0,0,3,3,1,ds5,6384.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,3.674,not_young,1227.6,Bramboden
518,18474,3,0,0,0,3,3,3,ds3,2431.0,Stangenholz,Stangenholz_6,1,1,1.847,not_young,1018.8,Bramboden
519,38288,3,0,0,0,3,3,3,ds5,2301.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,3.829,not_young,1012.8,Escholzmatt
520,21021,3,0,0,0,3,3,3,ds2,442.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,2.102,young,1124.1,Romoos
527,12114,3,0,0,0,3,3,3,ds2,444.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.211,young,1037.6,Escholzmatt
531,32477,3,0,0,0,3,3,1,ds3,368.0,Stangenholz,Stangenholz_6,1,1,3.248,not_young,1008.0,Romoos
536,23631,4,0,0,0,3,4,3,ds6,184.0,Starkes Baumholz,Starkes Baumholz_6,1,1,2.363,not_young,1036.8,Bramboden
542,17049,2,1,0,1,2,2,2,ds1,495.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.705,young,1061.2,Schüpfheim
543,11284,2,1,0,1,2,2,2,ds3,360.0,Stangenholz,Stangenholz_13,1,1,1.128,not_young,973.2,Wiggen
546,16944,1,0,2,2,1,1,1,ds4,4390.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.694,not_young,1264.4,Fontannen b. W.
550,37298,3,0,0,0,3,3,3,ds6,6352.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.73,not_young,998.0,Escholzmatt
551,19402,3,0,0,0,3,3,3,ds4,290.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.94,not_young,1052.1,Escholzmatt
554,9112,3,0,0,0,3,3,1,ds5,228.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,0.911,not_young,1067.6,Bramboden
556,17314,3,0,0,0,3,3,3,ds1,484.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.731,young,961.9,Bramboden
564,6751,3,0,0,0,3,3,3,ds3,351.0,Stangenholz,Stangenholz_6,1,1,0.675,not_young,1034.2,Schüpfheim
578,14858,2,1,0,1,2,2,2,ds3,340.0,Stangenholz,Stangenholz_13,1,1,1.486,not_young,927.4,Escholzmatt
581,10842,3,0,0,0,3,3,3,ds5,2255.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,1.084,not_young,1015.9,Schüpfheim
582,6096,2,1,0,1,2,2,2,ds2,392.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.61,young,985.8,Escholzmatt
585,35607,2,1,0,1,2,2,1,ds4,2304.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,3.561,not_young,770.0,Fontannen b. W.
588,43698,2,1,0,1,2,2,2,ds5,2240.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,4.37,not_young,926.1,Romoos
595,42904,2,1,0,1,2,2,2,ds6,238.0,Starkes Baumholz,Starkes Baumholz_13,1,1,4.29,not_young,938.4,Escholzmatt
600,38909,3,0,0,0,3,3,3,ds6,4335.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.891,not_young,1021.3,Escholzmatt
607,102074,2,1,0,1,2,2,2,ds6,2288.0,Starkes Baumholz,Starkes Baumholz_13,1,1,10.207,not_young,995.5,Romoos
630,7701,3,0,0,0,3,3,3,ds1,423.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.77,young,1200.7,Escholzmatt
637,11840,3,0,0,0,3,3,3,ds4,228.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.184,not_young,996.6,Wiggen
639,39513,2,1,0,1,2,2,1,ds6,10.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.951,not_young,888.8999999999999,Marbach LU
642,12612,3,0,0,0,3,3,3,ds5,152.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,1.261,not_young,1082.8,Schüpfheim
659,9894,2,1,0,1,2,2,2,ds4,215.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,0.989,not_young,940.7,Schüpfheim
671,3850,2,1,0,1,2,2,2,ds3,258.0,Stangenholz,Stangenholz_13,1,1,0.385,not_young,948.9,Escholzmatt
676,18284,3,0,0,0,3,3,3,ds5,120.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,1.828,not_young,1092.3,Escholzmatt
680,24887,2,1,0,1,2,2,2,ds5,2160.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.489,not_young,1045.6,Escholzmatt
682,32757,3,0,0,0,3,3,3,ds2,2352.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,3.276,young,1126.9,Escholzmatt
688,21763,3,0,0,0,3,3,3,ds5,2167.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,2.176,not_young,835.3999999999999,Romoos
689,45096,3,0,0,0,3,3,3,ds5,6240.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,4.51,not_young,1019.5,Escholzmatt
690,48310,3,0,0,0,3,3,3,ds6,6222.0,Starkes Baumholz,Starkes Baumholz_13,1,1,4.831,not_young,988.4,Escholzmatt
