#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m
107;Ubrige Laubholzer;299;118;2017;1.272176708598308;0;2.8458373969400927
108;Ubrige Laubholzer;299;118;2017;1.272176708598308;0;2.8458373969400927
109;Fichte;100;129;2017;1.427862962143424;0;2.8963658746727017
110;Ubrige Laubholzer;299;129;2017;1.3551769881733555;0;2.938638335625797
111;Ubrige Laubholzer;299;129;2017;1.3551769881733555;0;2.938638335625797
112;Fichte;100;140;2017;48.9313366342608;0;36.64566595668928
113;Fichte;100;169;2017;29.765501142956765;0;26.38685191101238
114;Fichte;100;182;2017;34.18183307319228;0;29.118914713675558
115;Fichte;100;197;2017;1.3326826011893034;0;2.806350420926554
116;Ubrige Laubholzer;299;197;2017;1.3177240957186371;0;3.0366228856490496
117;Fichte;100;1;2018;1.6010392253172592;0;3.099802647620454
118;Foehre;102;1;2018;1.5508652024475724;0;3.0048215509442793
119;Ubrige Laubholzer;299;11;2018;1.4529279767819294;0;3.047343314310851
120;Fichte;100;19;2018;39.78951326548855;0;32.21509698811056
121;Ubrige Laubholzer;299;25;2018;1.4332652605746394;0;3.171780815248918
122;Fichte;100;36;2018;41.93763654760057;0;33.188945260908994
123;Fichte;100;36;2018;13.67260837161469;0;14.51536950194616
124;Fichte;100;36;2018;40.13458185761519;0;32.41120014214508
125;Fichte;100;36;2018;41.732788678482095;0;33.200057792570156
126;Fichte;100;36;2018;25.917045308514176;0;23.859309905570253
127;Fichte;100;36;2018;34.57075530668218;0;29.329962891597443
128;Fichte;100;41;2018;19.200522421879377;0;19.017261203885152
129;Ahorn;203;41;2018;1.5447728982925777;0;2.655325441496274
130;Tanne;101;42;2018;1.4316250209274983;0;2.2375323093802404
131;Fichte;100;43;2018;1.4701458929200115;0;2.9534666670391037
132;Ahorn;203;43;2018;1.4268779837278098;0;2.55407002470891
133;Ahorn;203;43;2018;1.4268779837278098;0;2.55407002470891
