area_ha,id,alt_zone,ds,rst_code,dev_stage,rst,priv,for_res,BAU,BIO,WOOD,HYBRID,fsID,age
0.814288268996896,9686.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,1.0,1.0,1.0,3.0,3.0,3561,not_young
1.226553165813079,9687.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,0.0,3.0,3.0,4.0,4.0,3562,not_young
6.326626081991802,9688.0,4.0,ds6,ds6_4,Starkes Baumholz,Starkes Baumholz_4,0.0,0.0,3.0,3.0,3.0,3.0,3563,not_young
1.050626350541227,9690.0,4.0,ds5,ds5_4,Mittleres Baumholz,Mittleres Baumholz_4,0.0,1.0,1.0,1.0,1.0,1.0,3564,not_young
1.108204139418854,9691.0,4.0,ds1,ds1_4,Jungwuchs/Dickung,Jungwuchs/Dickung_4,0.0,0.0,3.0,3.0,3.0,3.0,3565,young
0.650570500807092,9692.0,13.0,ds3,ds3_13,Stangenholz,Stangenholz_13,0.0,1.0,1.0,1.0,3.0,3.0,3566,not_young
0.689225844934117,9693.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3567,not_young
1.587577495003212,9694.0,13.0,ds1,ds1_13,Jungwuchs/Dickung,Jungwuchs/Dickung_13,0.0,0.0,3.0,3.0,3.0,3.0,3568,young
0.62447151577156,9695.0,13.0,ds2,ds2_13,Jungwuchs/Dickung,Jungwuchs/Dickung_13,0.0,0.0,3.0,3.0,3.0,3.0,3569,young
1.829429613577016,9697.0,13.0,ds5,ds5_13,Mittleres Baumholz,Mittleres Baumholz_13,0.0,0.0,3.0,3.0,4.0,3.0,3570,not_young
1.487861379279014,9698.0,4.0,ds3,ds3_4,Stangenholz,Stangenholz_4,0.0,0.0,3.0,3.0,3.0,3.0,3571,not_young
0.523472046848945,9700.0,4.0,ds5,ds5_4,Mittleres Baumholz,Mittleres Baumholz_4,0.0,0.0,3.0,3.0,3.0,3.0,3572,not_young
0.655373412190063,9701.0,13.0,ds2,ds2_13,Jungwuchs/Dickung,Jungwuchs/Dickung_13,0.0,0.0,3.0,3.0,4.0,3.0,3573,young
3.53955580416132,9702.0,13.0,ds6,ds6_13,Starkes Baumholz,Starkes Baumholz_13,0.0,0.0,3.0,3.0,4.0,3.0,3574,not_young
1.979574929668929,9703.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3575,not_young
1.422511645361595,9706.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,0.0,3.0,3.0,4.0,3.0,3576,not_young
