area_ha,alt_zone,type,age,BAU,HYBRID,WOOD,NONE,BIO,fsID,ds,rst,distance,elev,SHORTNAME
1.3,11,plant10,young,3,4,4,0,3,7257,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,990.4,Trun
1.1,11,plant10,young,3,4,4,0,3,7258,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,901.0,Siat
0.5,11,other,young,3,3,3,0,3,6235,Jungwuchs/Dickung,Jungwuchs/Dickung_11,449.4776677827981,929.0,Rabius
3.3,12,nat15,young,3,3,3,0,1,7255,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,2164.0,Surrein
2.2,12,other,young,3,3,3,0,3,7256,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1216.4,Surrein
1.2,11,other,young,3,3,3,0,3,6241,Jungwuchs/Dickung,Jungwuchs/Dickung_11,326.8583185490429,1072.2,Rabius
2.0,11,prot_no_nat,young,2,2,2,0,2,7261,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1286.4,Surrein
1.7,12,other,young,3,3,3,0,3,6242,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1598.4,Surrein
3.0,8,nat15,young,3,3,3,0,1,7262,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,2171.4,Pigniu
0.9,9,nat15,young,3,3,3,0,1,7259,Jungwuchs/Dickung,Jungwuchs/Dickung_9,0.0,2011.8,Surrein
0.6,9,other,young,3,3,3,0,3,7260,Jungwuchs/Dickung,Jungwuchs/Dickung_9,12.679791350340707,1671.1,Cumpadials
0.8,11,plant10,young,3,4,4,0,3,7265,Jungwuchs/Dickung,Jungwuchs/Dickung_11,118.55264715019904,794.8999999999999,Trun
5.1,5,nat15,young,3,3,3,0,1,7266,Jungwuchs/Dickung,Jungwuchs/Dickung_5,7.565384861919048,1916.4,Surrein
4.1,12,prot_no_nat,young,2,2,2,0,2,7263,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1197.0,Surrein
3.4,11,other,young,3,3,3,0,3,7264,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1013.8,Siat
0.6,12,other,young,3,3,3,0,3,7269,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1546.5,Surrein
2.8,12,nat15,young,3,3,3,0,1,7270,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,2533.3,Surrein
0.5,10,nat15,young,3,3,3,0,1,7267,Jungwuchs/Dickung,Jungwuchs/Dickung_10,32.54120112107057,1201.7,Sumvitg
0.3,8,res_no_prot,young,1,1,1,0,1,7268,Jungwuchs/Dickung,Jungwuchs/Dickung_8,84.92766756985938,1936.5,Surrein
7.3,12,plant30,young,3,3,4,0,3,7241,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1381.9,Surrein
5.3,11,prot_no_nat,young,2,2,2,0,2,7242,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,771.8999999999999,Ilanz
0.7,12,plant10,young,3,4,4,0,3,7239,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1790.1,Siat
0.3,9,prot_no_nat,young,2,2,2,0,2,7240,Jungwuchs/Dickung,Jungwuchs/Dickung_9,0.0,1497.4,Rueun
0.1,9,res_no_prot,young,1,1,1,0,1,7245,Jungwuchs/Dickung,Jungwuchs/Dickung_9,58.10388049752283,1818.9,Trun
0.9,11,plant30,young,3,3,4,0,3,7246,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1366.2,Surrein
2.4,11,other,young,3,3,3,0,3,7243,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1038.6,Cumpadials
0.5,5,other,young,1,3,3,0,3,7244,Jungwuchs/Dickung,Jungwuchs/Dickung_5,0.0,937.3,Cumpadials
5.5,8,plant30,young,3,3,4,0,3,7249,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1491.0,Surrein
0.5,11,other,young,3,3,3,0,3,6230,Jungwuchs/Dickung,Jungwuchs/Dickung_11,53.53458432364441,1134.8,Disentis/Mustér
1.3,8,plant10,young,3,4,4,0,3,7250,Jungwuchs/Dickung,Jungwuchs/Dickung_8,7.192150783420342,1695.8,Platta
