#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
#Summe:;15;Fichte;100;91;2015;16.910389148628315;17.0;;;;;;;;0.17;0.19;;;10.41;
#
52;16;Fichte;100;95;2015;35.352204400097825;30.0;L2;3a;0.3;8.0;35.79;30.19;27.65;0.58;0.64;0.0;0.62;70.53;
53;16;Fichte;100;95;2015;35.352204400097825;30.0;L2;2b;8.4;8.5;27.6;25.11;21.5;0.41;0.46;0.0;0.2;45.83;
54;16;Fichte;100;95;2015;35.352204400097825;30.0;L1;1b;17.0;5.5;21.4;18.29;14.58;0.14;0.16;0.0;0.05;10.46;
55;16;Fichte;100;95;2015;35.352204400097825;30.0;L1;1a;22.6;5.5;14.43;10.0;4.58;0.04;0.05;0.0;0.0;2.25;
56;16;Fichte;100;95;2015;35.352204400097825;30.0;Restholz 1;Restholz 1;28.2;1.8;4.36;2.28;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;16;Fichte;100;95;2015;35.352204400097825;30.0;;;;;;;;1.18;1.31;;;129.11;
#
57;17;Fichte;100;97;2015;32.89582496710179;28.0;L1;3a;0.3;4.0;33.25;30.15;28.2;0.28;0.3;0.0;0.71;32.31;
58;17;Fichte;100;97;2015;32.89582496710179;28.0;L2;2b;4.4;10.0;28.12;25.1;21.48;0.49;0.54;0.0;0.21;54.38;
59;17;Fichte;100;97;2015;32.89582496710179;28.0;L1;1b;14.5;6.0;21.39;18.31;14.49;0.15;0.18;0.0;0.05;11.42;
60;17;Fichte;100;97;2015;32.89582496710179;28.0;L1;1a;20.6;5.5;14.35;10.05;4.67;0.05;0.05;0.0;0.0;2.25;
61;17;Fichte;100;97;2015;32.89582496710179;28.0;Restholz 1;Restholz 1;26.2;1.8;4.45;2.33;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;17;Fichte;100;97;2015;32.89582496710179;28.0;;;;;;;;0.96;1.07;;;100.42;
#
62;18;Fichte;100;151;2015;13.827481972348998;15.0;L2;1a;0.3;13.0;13.79;10.07;3.55;0.1;0.11;0.0;0.0;5.15;
63;18;Fichte;100;151;2015;13.827481972348998;15.0;Restholz 1;Restholz 1;13.4;1.6;3.38;1.86;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;18;Fichte;100;151;2015;13.827481972348998;15.0;;;;;;;;0.1;0.11;;;5.17;
#
64;19;Fichte;100;169;2015;17.59698610781929;18.0;L1;1b;0.3;5.5;17.61;15.78;14.22;0.11;0.12;0.0;0.09;7.8;
65;19;Fichte;100;169;2015;17.59698610781929;18.0;L2;1a;5.9;11.0;14.16;10.09;2.58;0.09;0.1;0.0;0.0;4.39;
66;19;Fichte;100;169;2015;17.59698610781929;18.0;Restholz 1;Restholz 1;17.0;1.0;2.37;1.24;0.0;0.0;0.0;0.0;0.0;0.01;
#Summe:;19;Fichte;100;169;2015;17.59698610781929;18.0;;;;;;;;0.19;0.21;;;12.2;
#
67;20;Fichte;100;172;2015;24.95249457442104;23.0;L2;2a;0.3;9.5;25.11;21.07;18.15;0.33;0.37;0.0;0.15;34.36;
68;20;Fichte;100;172;2015;24.95249457442104;23.0;L1;1b;9.9;4.5;18.08;16.31;14.18;0.09;0.1;0.0;0.06;6.71;
69;20;Fichte;100;172;2015;24.95249457442104;23.0;L2;1a;14.5;6.5;14.07;10.16;4.7;0.05;0.06;0.0;0.0;2.67;
70;20;Fichte;100;172;2015;24.95249457442104;23.0;Restholz 1;Restholz 1;21.1;1.9;4.5;2.4;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;20;Fichte;100;172;2015;24.95249457442104;23.0;;;;;;;;0.48;0.53;;;43.79;
#
71;21;Fichte;100;200;2015;13.59132144837605;14.0;L2;1a;0.3;11.5;13.54;10.14;4.54;0.09;0.1;0.0;0.0;4.62;
72;21;Fichte;100;200;2015;13.59132144837605;14.0;Restholz 1;Restholz 1;11.9;2.1;4.39;2.5;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;21;Fichte;100;200;2015;13.59132144837605;14.0;;;;;;;;0.09;0.1;;;4.68;
#
73;22;Fichte;100;1;2016;1.2612262874386078;3.0;Restholz 1;Restholz 1;0.3;2.7;1.61;1.03;0.0;0.0;0.0;0.0;0.0;0.01;
#Summe:;22;Fichte;100;1;2016;1.2612262874386078;3.0;;;;;;;;0.0;0.0;;;0.01;
#
74;23;Fichte;100;12;2016;33.38426664528895;29.0;L1;3a;0.3;4.5;33.77;30.27;28.18;0.32;0.35;0.0;0.73;36.99;
75;23;Fichte;100;12;2016;33.38426664528895;29.0;L2;2b;4.9;10.5;28.11;25.11;21.28;0.51;0.56;0.0;0.2;57.05;
76;23;Fichte;100;12;2016;33.38426664528895;29.0;L1;1b;15.5;6.0;21.19;18.07;14.23;0.15;0.17;0.0;0.05;11.13;
77;23;Fichte;100;12;2016;33.38426664528895;29.0;L1;1a;21.6;5.0;14.09;10.24;5.58;0.04;0.05;0.0;0.0;2.1;
78;23;Fichte;100;12;2016;33.38426664528895;29.0;Restholz 1;Restholz 1;26.7;2.3;5.38;2.84;0.0;0.0;0.0;0.0;0.0;0.09;
#Summe:;23;Fichte;100;12;2016;33.38426664528895;29.0;;;;;;;;1.02;1.13;;;107.36;
#
79;24;Fichte;100;41;2016;1.275894735393451;3.0;Restholz 1;Restholz 1;0.3;2.7;1.63;1.04;0.0;0.0;0.0;0.0;0.0;0.01;
#Summe:;24;Fichte;100;41;2016;1.275894735393451;3.0;;;;;;;;0.0;0.0;;;0.01;
#
80;25;Fichte;100;53;2016;21.60126788107556;21.0;L1;2a;0.3;3.5;21.69;20.08;18.92;0.11;0.12;0.0;0.23;10.95;
81;25;Fichte;100;53;2016;21.60126788107556;21.0;L2;1b;3.9;7.0;18.86;16.84;14.37;0.15;0.17;0.0;0.07;11.25;
82;25;Fichte;100;53;2016;21.60126788107556;21.0;L2;1a;11.0;8.5;14.29;10.12;3.51;0.07;0.08;0.0;0.0;3.46;
83;25;Fichte;100;53;2016;21.60126788107556;21.0;Restholz 1;Restholz 1;19.6;1.4;3.3;1.74;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;25;Fichte;100;53;2016;21.60126788107556;21.0;;;;;;;;0.33;0.36;;;25.68;
#
84;26;Fichte;100;57;2016;25.336741103881607;23.0;L2;2a;0.3;10.0;25.49;21.24;18.07;0.36;0.39;0.0;0.14;36.79;
85;26;Fichte;100;57;2016;25.336741103881607;23.0;L1;1b;10.4;4.0;17.99;16.34;14.4;0.08;0.09;0.0;0.06;5.95;
86;26;Fichte;100;57;2016;25.336741103881607;23.0;L2;1a;14.5;6.5;14.29;10.32;4.77;0.06;0.06;0.0;0.0;2.75;
87;26;Fichte;100;57;2016;25.336741103881607;23.0;Restholz 1;Restholz 1;21.1;1.9;4.56;2.44;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;26;Fichte;100;57;2016;25.336741103881607;23.0;;;;;;;;0.49;0.55;;;45.55;
#
88;27;Fichte;100;63;2016;27.273167650567306;25.0;L1;2b;0.3;4.0;27.49;25.06;23.48;0.19;0.21;0.0;0.43;21.03;
89;27;Fichte;100;63;2016;27.273167650567306;25.0;L2;2a;4.4;8.0;23.42;21.12;18.38;0.27;0.3;0.0;0.14;28.22;
90;27;Fichte;100;63;2016;27.273167650567306;25.0;L1;1b;12.5;4.0;18.3;16.52;14.44;0.08;0.09;0.0;0.06;6.09;
91;27;Fichte;100;63;2016;27.273167650567306;25.0;L2;1a;16.6;6.5;14.33;10.13;4.45;0.05;0.06;0.0;0.0;2.68;
92;27;Fichte;100;63;2016;27.273167650567306;25.0;Restholz 1;Restholz 1;23.2;1.8;4.25;2.25;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;27;Fichte;100;63;2016;27.273167650567306;25.0;;;;;;;;0.6;0.67;;;58.07;
#
93;28;Fichte;100;83;2016;21.708282296264503;21.0;L1;2a;0.3;3.5;21.8;20.18;19.01;0.11;0.12;0.0;0.23;11.06;
94;28;Fichte;100;83;2016;21.708282296264503;21.0;L2;1b;3.9;7.5;18.95;16.76;14.03;0.16;0.18;0.0;0.06;11.97;
95;28;Fichte;100;83;2016;21.708282296264503;21.0;L2;1a;11.5;7.5;13.95;10.17;4.53;0.06;0.07;0.0;0.0;3.06;
96;28;Fichte;100;83;2016;21.708282296264503;21.0;Restholz 1;Restholz 1;19.1;1.9;4.33;2.33;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;28;Fichte;100;83;2016;21.708282296264503;21.0;;;;;;;;0.33;0.37;;;26.14;
#
97;29;Fichte;100;89;2016;21.44277761302616;21.0;L1;2a;0.3;3.0;21.53;20.13;19.08;0.09;0.1;0.0;0.24;9.31;
98;29;Fichte;100;89;2016;21.44277761302616;21.0;L2;1b;3.4;7.5;19.02;16.86;14.27;0.16;0.18;0.0;0.07;12.12;
99;29;Fichte;100;89;2016;21.44277761302616;21.0;L2;1a;11.0;8.5;14.19;10.05;3.48;0.07;0.08;0.0;0.0;3.41;
100;29;Fichte;100;89;2016;21.44277761302616;21.0;Restholz 1;Restholz 1;19.6;1.4;3.28;1.73;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;29;Fichte;100;89;2016;21.44277761302616;21.0;;;;;;;;0.32;0.36;;;24.86;
#
101;30;Fichte;100;105;2016;18.961732220219908;19.0;L2;1b;0.3;7.5;19.0;16.44;14.19;0.16;0.17;0.0;0.08;11.68;
102;30;Fichte;100;105;2016;18.961732220219908;19.0;L2;1a;7.9;9.5;14.13;10.23;3.64;0.08;0.09;0.0;0.0;3.9;
103;30;Fichte;100;105;2016;18.961732220219908;19.0;Restholz 1;Restholz 1;17.5;1.5;3.44;1.84;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;30;Fichte;100;105;2016;18.961732220219908;19.0;;;;;;;;0.24;0.26;;;15.6;
#
104;31;Fichte;100;105;2016;13.099322525999195;14.0;L2;1a;0.3;10.5;13.05;10.11;5.7;0.08;0.09;0.0;0.0;4.18;
105;31;Fichte;100;105;2016;13.099322525999195;14.0;Restholz 1;Restholz 1;10.9;3.1;5.58;3.33;0.0;0.0;0.0;0.0;0.0;0.15;
#Summe:;31;Fichte;100;105;2016;13.099322525999195;14.0;;;;;;;;0.09;0.1;;;4.33;
#
106;32;Fichte;100;105;2016;18.07192395455562;18.0;L1;1b;0.3;6.0;18.08;16.06;14.29;0.12;0.13;0.0;0.09;8.84;
107;32;Fichte;100;105;2016;18.07192395455562;18.0;L2;1a;6.4;10.5;14.23;10.12;2.65;0.08;0.1;0.0;0.0;4.22;
108;32;Fichte;100;105;2016;18.07192395455562;18.0;Restholz 1;Restholz 1;17.0;1.0;2.43;1.28;0.0;0.0;0.0;0.0;0.0;0.01;
#Summe:;32;Fichte;100;105;2016;18.07192395455562;18.0;;;;;;;;0.2;0.23;;;13.07;
#
109;33;Fichte;100;105;2016;35.13398163267873;30.0;L2;3a;0.3;8.0;35.57;30.01;27.48;0.58;0.63;0.0;0.61;69.66;
110;33;Fichte;100;105;2016;35.13398163267873;30.0;L2;2b;8.4;8.0;27.43;25.13;21.87;0.39;0.43;0.0;0.21;43.18;
111;33;Fichte;100;105;2016;35.13398163267873;30.0;L1;2a;16.5;3.0;21.77;20.22;18.49;0.09;0.1;0.0;0.11;9.35;
112;33;Fichte;100;105;2016;35.13398163267873;30.0;L1;1b;19.6;3.0;18.36;16.45;14.35;0.06;0.07;0.0;0.05;4.48;
113;33;Fichte;100;105;2016;35.13398163267873;30.0;L1;1a;22.7;5.0;14.2;10.2;5.42;0.04;0.05;0.0;0.0;2.09;
114;33;Fichte;100;105;2016;35.13398163267873;30.0;Restholz 1;Restholz 1;27.8;2.2;5.2;2.74;0.0;0.0;0.0;0.0;0.0;0.08;
#Summe:;33;Fichte;100;105;2016;35.13398163267873;30.0;;;;;;;;1.16;1.28;;;128.85;
#
115;34;Fichte;100;105;2016;21.528146514278987;21.0;L1;2a;0.3;3.5;21.62;20.01;18.85;0.11;0.12;0.0;0.23;10.88;
116;34;Fichte;100;105;2016;21.528146514278987;21.0;L2;1b;3.9;7.0;18.8;16.78;14.32;0.15;0.17;0.0;0.07;11.17;
117;34;Fichte;100;105;2016;21.528146514278987;21.0;L2;1a;11.0;8.5;14.24;10.09;3.5;0.07;0.08;0.0;0.0;3.44;
118;34;Fichte;100;105;2016;21.528146514278987;21.0;Restholz 1;Restholz 1;19.6;1.4;3.29;1.74;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;34;Fichte;100;105;2016;21.528146514278987;21.0;;;;;;;;0.33;0.36;;;25.51;
#
119;35;Fichte;100;105;2016;21.606019055968705;21.0;L1;2a;0.3;3.5;21.69;20.09;18.92;0.11;0.12;0.0;0.23;10.96;
120;35;Fichte;100;105;2016;21.606019055968705;21.0;L2;1b;3.9;7.0;18.86;16.84;14.38;0.15;0.17;0.0;0.07;11.25;
121;35;Fichte;100;105;2016;21.606019055968705;21.0;L2;1a;11.0;8.5;14.3;10.13;3.51;0.07;0.08;0.0;0.0;3.46;
122;35;Fichte;100;105;2016;21.606019055968705;21.0;Restholz 1;Restholz 1;19.6;1.4;3.3;1.75;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;35;Fichte;100;105;2016;21.606019055968705;21.0;;;;;;;;0.33;0.36;;;25.69;
#
123;36;Fichte;100;105;2016;33.18587410304844;28.0;L1;3a;0.3;4.5;33.54;30.12;28.07;0.31;0.34;0.0;0.69;36.6;
124;36;Fichte;100;105;2016;33.18587410304844;28.0;L2;2b;4.9;10.0;28.0;25.03;21.2;0.48;0.53;0.0;0.2;53.91;
125;36;Fichte;100;105;2016;33.18587410304844;28.0;L1;1b;15.0;5.5;21.11;18.18;14.62;0.14;0.16;0.0;0.05;10.31;
126;36;Fichte;100;105;2016;33.18587410304844;28.0;L1;1a;20.6;5.5;14.48;10.14;4.71;0.05;0.05;0.0;0.0;2.29;
127;36;Fichte;100;105;2016;33.18587410304844;28.0;Restholz 1;Restholz 1;26.2;1.8;4.48;2.35;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;36;Fichte;100;105;2016;33.18587410304844;28.0;;;;;;;;0.98;1.09;;;103.16;
#
128;37;Fichte;100;105;2016;36.77940160794845;30.0;L2;3a;0.3;11.5;37.23;30.08;26.72;0.84;0.93;0.0;0.46;102.24;
129;37;Fichte;100;105;2016;36.77940160794845;30.0;L1;2b;11.9;4.0;26.65;25.17;23.39;0.19;0.21;0.0;0.25;20.88;
130;37;Fichte;100;105;2016;36.77940160794845;30.0;L1;2a;16.0;4.5;23.29;20.87;18.04;0.15;0.17;0.0;0.1;15.32;
131;37;Fichte;100;105;2016;36.77940160794845;30.0;L2;1a;20.6;9.0;17.91;10.86;1.08;0.09;0.11;0.0;0.0;4.65;
132;37;Fichte;100;105;2016;36.77940160794845;30.0;Restholz 1;Restholz 1;29.7;0.3;0.81;0.41;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;37;Fichte;100;105;2016;36.77940160794845;30.0;;;;;;;;1.28;1.42;;;143.09;
#
133;38;Fichte;100;105;2016;25.025537957707872;23.0;L2;2a;0.3;9.5;25.18;21.13;18.21;0.34;0.37;0.0;0.15;34.56;
134;38;Fichte;100;105;2016;25.025537957707872;23.0;L1;1b;9.9;4.5;18.14;16.36;14.22;0.09;0.1;0.0;0.06;6.75;
135;38;Fichte;100;105;2016;25.025537957707872;23.0;L2;1a;14.5;6.5;14.12;10.19;4.71;0.05;0.06;0.0;0.0;2.69;
136;38;Fichte;100;105;2016;25.025537957707872;23.0;Restholz 1;Restholz 1;21.1;1.9;4.51;2.41;0.0;0.0;0.0;0.0;0.0;0.05;
